,0
0,good suv engine make lot noisesbought jeep compass sport august khatwani motor jabalpur suv soft roader patchy dynamic well finished model good road capability x mode good road capability whereas x excellent road capability departure angle excellent i read
1,excellent car great car jeep compass limited manual car dream till date faced problem power handling luxury feel everything get lakh absolutely insane really suited indian road condition never felt lethargic even driving km per day read
2,excellent suvjeep compass efficient car elegantly designed powerful car segment compared harrier creta efficient best value money excellent driving experience necessary feature required segment car confusion similar car go get jeep compass bli read
3,satisfied many issue clutch plate liter fiat sourced diesel engine problematic compelled get clutch plate changed twice km
4,value money nearly year jeep compass limited edition must say completely fantastic car feature good loved car value money maintenance bit high person buy seaters range feel read
5,best car performancejeep compass nice car loaded feature cost le interior look nice suitable price best roading car compact suv car year segment colour looking nice engine nice xfd xfd xfd powerful car also adventure car roading teren management system v read
6,poor build qualityi purchased jeep compass limited plus st july within day vehicle even driven km km first day lot annoying sound audible sunroof dashboard door maybe c pillar suspension read
7,great car far jeep compass great car dimension car look brilliant pick car tremendous
8,service issuesthe car high service cost also requires regular service cost lac plus last month would suggest buying cost justified performance car complaint monitored company really care concern read
9,best car jeep compass likely car drown till know superb mostly like comfort driving kerala place feel tired
10,complete suvjeep compass excellent suv score safety feature excellent round performance jeep compass excellent highway cruiser jeep compass come safety feature traction control rollover mitigation esp electronic parking brake hill assist hill descent control standard jeep compass build quality interior read
11,jeep compass beast jeep compass good car suv lac touch screen infotainment system legroom also good give luxurious look ac provides cooling fast connectivity also good people seated easily grey colour also led drls boot space also spacious ground clearance read
12,jeeplife true tag line go anywhere anything jeep compass best suv segment super build quality provides best driving pleasure jeeplife read
13,super beastbeast hand word perfect car ruin car road weather highway city driving car unmatched using last one month every day like first day drawback time bad fuel efficiency kmpl major drawback initial power lag always surprise go per c read
14,jeep compasswith striking interior exterior design host feel good feature multiple powertrain option jeep seems cut corner equipping first offering india read
15,good cool producti complaining jeep compass reason star pricing maintenance top model budget one big car like fortuner overall good package somewhere differentiated segment car status maintaining product good car read
16,third class car purchased jeep compass limited plus model may drove vehicle km started creating problem like leaked diesel pump engine problem rd class car read
17,jeep compass perfect family carthe car awesome pick come marvelous look full filled requirement love drive car especially roading hilly area read
18,premium suvjeep compass premium word comfortable porch car thank jeep
19,nice carsuper nice look interior also good
20,bad bought jeep compassthe car year warranty battery sure warranty average km per liter petrol disaster told selling buying showroom insurance rep asked plus insisted getting outside dropped charged nano paint read
21,safest vehicle jeep compass suv awesome comfort driving pleasure roading capability top notch comparison suv segment
22,jeep compasshi purchased jeep compass last year july still year completed yet car creating many problem engine side like fuel pump failed part available service agency hyderabad suggest everyone buy jeep compass read
23,jeep compass fab outstanding suv pride owner jeep compass limited plus x buying car good decision glad performance car would surely recommend anyone thinking buy go think harrier hector compass famous premium quality read
24,great machineinitially bit hesitant jeep compass month usage feel great machine high power styling pure driving pleasure bit expensive justified checking competitor market read
25,excellent performance jeep except low mileage buying jeep compass good decision jeep powerful nice highway braking sudden driving city traffic easy petrol jeep giving mileage km ltr instead km ltr need checked made complaint service center satisfactory reply action sale service good except mileag read
26,excellent carjeep compass ultimate suv totally satisfied licence road drawback le backspace unmatched power
27,best cari owned jeep compass loved car best option price range
28,darling carthe darling car life great wonderful car drive feature beauty excellent
29,awaited car dream car best look ahead car stunning look attractive lot
30,value money cari suggest jeep compass longitude option man looking perfect value money feature comparing top end model speed automatic transmission read
31,beast jeep compasscar omg beast car ultimate roarer power handling suspension look body totally amazing beauty beast best love car interior amazing give feel expensive car luxurious comfortable also read
32,jeep compasspure driving pleasure vehicle incomparable class p horse power kill top speed kmph torque speed enormous second gear stable vehicle high speed mcpherson strut shock absorber smoothens ride terrain looking long drive vehicle jus read
